Marker_ID,X,Y,Theta
Marker_ID,X,Y,Theta
3,-0.11263045490946579,0.14994807555505812,"[0.00010319865912793804, -1.282585167832937e-10, -2.189922975666649]"
2,-0.11263045490946579,0.14994807555505812,"[0.00010319865912793804, -1.282585167832937e-10, -2.189922975666649]"
3,-0.11261431975791168,0.1500120218025301,"[-1.4346441519515953e-05, -1.2825362498337012e-10, -2.188025609502075]"
3,-0.11260012709067627,0.15006766360097412,"[0.00010785084284212928, -1.2825918026081315e-10, -2.1867890389934264]"
3,-0.11255461496193923,0.15015199396586554,"[0.00014788652751582522, -1.282604335307619e-10, -2.185019100857679]"
3,-0.11251845956852394,0.15022511817578943,"[0.00015054378858009887, -1.282607532009962e-10, -2.1830966330069512]"
3,-0.11249620516272435,0.15031520121453426,"[-8.79058686390515e-05, -1.282573799702108e-10, -2.1815877823193266]"
3,-0.11244335547312767,0.15043860106475238,"[0.00015017772102103903, -1.2826169142889868e-10, -2.1797856009975893]"
3,-0.10915565260803321,0.14522228900693746,"[0.0001717069732289242, -1.2833705024259748e-10, -1.3782271379676505]"
1,0.1704315236959033,-0.17269704647826795,"[7.263882322079967e-06, -1.2826717687652202e-10, -2.5752786268690926]"
1,-0.49916143659752404,-0.6190708999254093,"[0.0001156410503119548, 1.1822440448151123e-06, -2.1247733204581167]"
7,-1.016170519245926,0.768966696867426,"[0.00021615770368767505, -0.0001221429361101586, 3.1236646549519236]"
1,-1.8422502871847377,0.36380265273939216,"[0.00043362101426582884, -1.282394504443455e-10, -2.27690998352381]"
2,-1.8422502871847377,0.36380265273939216,"[0.00043362101426582884, -1.282394504443455e-10, -2.27690998352381]"
1,-1.842296964889286,0.3637816640085597,"[0.0004501610717308957, -1.2823997332794823e-10, -2.276193503419864]"
3,-1.842296964889286,0.3637816640085597,"[0.0004501610717308957, -1.2823997332794823e-10, -2.276193503419864]"
2,-1.842296964889286,0.3637816640085597,"[0.0004501610717308957, -1.2823997332794823e-10, -2.276193503419864]"
1,-1.8425901715381898,0.36341175098350886,"[0.0004380356732839413, -1.2824059612078116e-10, -2.2724708750335623]"
3,-1.8425901715381898,0.36341175098350886,"[0.0004380356732839413, -1.2824059612078116e-10, -2.2724708750335623]"
2,-1.8425901715381898,0.36341175098350886,"[0.0004380356732839413, -1.2824059612078116e-10, -2.2724708750335623]"
1,-1.854511243890193,0.35020698026333424,"[0.0003781384903128539, -3.935362727012656e-05, -2.310443583956333]"
3,-1.854511243890193,0.35020698026333424,"[0.0003781384903128539, -3.935362727012656e-05, -2.310443583956333]"
2,-1.854511243890193,0.35020698026333424,"[0.0003781384903128539, -3.935362727012656e-05, -2.310443583956333]"
1,-2.3270259244544955,-0.8489087150478608,"[-4.7834831506510107e-05, -1.2833856016691739e-10, -1.4215957691819963]"
3,-2.3270259244544955,-0.8489087150478608,"[-4.7834831506510107e-05, -1.2833856016691739e-10, -1.4215957691819963]"
2,-2.3270259244544955,-0.8489087150478608,"[-4.7834831506510107e-05, -1.2833856016691739e-10, -1.4215957691819963]"
1,-3.9902459815304696,-0.1080084450771501,"[-4.372611543373617e-05, 4.210490897530943e-05, -2.180441771144089]"
1,-3.9907703425497414,-0.10113038489347585,"[-6.433770431508335e-05, -1.2834042480364813e-10, -3.0653346525787173]"
2,-3.988859990378039,-0.09754416884320463,"[0.00022096333081479943, -4.754388905275431e-11, 2.6585820876948927]"
1,-2.8675893928400544,-1.2192780853127183,"[5.6522559503344614e-05, -1.787482101120318e-09, 0.10241014579541667]"
7,-2.8661920290610596,-1.2192485199826333,"[0.0002462084359400152, -1.2834183756778327e-10, 0.10072662409180569]"
7,-2.8661080305566626,-1.2192726489441081,"[0.00015620116058411414, -1.2834081097232153e-10, 0.10056937258314581]"
7,-2.866070220551375,-1.2192877448284847,"[0.00024215835420772283, -1.2834175269169383e-10, 0.10046691697081865]"
7,-2.863801677814899,-1.2098660878692913,"[0.00010970380977775893, -1.282351718031021e-10, 0.8445896671381924]"
2,-3.3611380809097082,0.009059155159922862,"[4.3928164074909526e-05, -1.2830594710468287e-10, 1.990041503511136]"
7,1.6869181776775664,1.867103480344546,"[1.9938322043367017e-06, -1.282631685813021e-10, 0.5799905220121228]"
7,1.6876421065436165,1.8611846549554076,"[0.00021046139446260662, -1.283389209690716e-10, -0.2187361849519884]"
7,1.687501566383109,1.861178593044094,"[-1.2490502419619614e-06, -1.283379945676284e-10, -0.2168789125473579]"
7,2.325745117360385,1.8212519976663981,"[-0.0003966661853617897, -3.095257010941723e-06, 0.09075660289678276]"
7,2.658496380470957,1.8329445181499644,"[-3.4497424109000074e-05, -1.28340540000976e-10, 0.10096047198484283]"
7,4.673009475404982,1.2322061837597285,"[-0.00010670063990182907, -2.459733472924244e-09, 0.06862711870436598]"
7,4.867491750246119,1.241889488550386,"[0.00021504702216758626, -1.7394689304717983e-05, 0.11463313931559867]"
6,4.884243576848275,1.245861513542003,"[-0.0001790653519809378, -6.15745872396568e-08, 0.6147947125061473]"
6,4.884476395015281,1.2465691767606824,"[-0.00014583695145458487, -1.2823171593578236e-10, 0.7154400369587062]"
6,4.884505558533265,1.246547895961096,"[0.00010867282899264411, -1.2823499971988854e-10, 0.7147457499408055]"
6,4.884538640867725,1.2465421745059229,"[-0.00032864127924699707, -1.2823026215619433e-10, 0.7142021044597396]"
6,4.88453656471733,1.246530745466294,"[0.0001208448623063017, -1.2827946487030872e-10, 0.7139842232198572]"
6,4.884948037802138,1.2507134193102045,"[0.00024524141265230734, -1.2831676452179468e-10, 1.1721968474745208]"
6,4.8849246799358985,1.2504499622933396,"[5.9812340465065004e-05, -1.2831809053832108e-10, 1.1756034858916473]"
6,4.884905197878005,1.2502287654883275,"[0.00016424335257710237, -1.2831930720628212e-10, 1.1778828834128066]"
6,4.884889432811937,1.2499881505310173,"[9.771754355643895e-05, -2.9289102538494785e-08, 1.1801565153785545]"
6,3.835449756797891,0.4503984063168604,"[-0.0004412698132265494, -9.942751505355022e-06, -0.21431381360908017]"
56,5.96116594300549,-0.9953056262265493,"[0.00012563635135202738, -1.0904600823049139e-09, -0.16090463423223578]"
17,5.961735678534543,-0.9930787835339321,"[-2.2281658346993917e-05, -8.772865484130107e-10, 0.1697275674179117]"
4,5.943183725693015,-0.9894894471736572,"[-0.00010807820613592195, -1.2826349045572789e-10, -2.5708358318452365]"
4,5.943167267215417,-0.989485993651104,"[0.00010651729557522538, -1.2826682820260907e-10, -2.5727871101038775]"
4,5.943135543974288,-0.98949633143677,"[0.00011551211931320338, -1.2826705574954002e-10, -2.573149424788161]"
4,5.943059085190308,-0.9894910861418901,"[-2.812806726737279e-05, -1.2826623025155841e-10, -2.5752788533634923]"
